date,code,amount,close,date_stamp,down_count,high,low,open,up_count,vol,volume
2009-01-09,000030,22347014144.0,1102.94,1231430400.0,0,1106.99,1084.44,1084.44,0,244368.0,244368.0
2009-01-12,000030,26523498496.0,1103.56,1231689600.0,0,1121.05,1095.44,1098.9,0,286759.0,286759.0
2009-01-13,000030,20827553792.0,1075.93,1231776000.0,0,1094.33,1075.1,1084.52,0,240900.0,240900.0
2009-01-14,000030,30951868416.0,1129.92,1231862400.0,0,1129.92,1074.13,1074.13,0,318495.0,318495.0
2009-01-15,000030,39349698560.0,1130.35,1231948800.0,0,1144.52,1112.92,1116.38,0,427404.0,427404.0
2009-01-16,000030,52259188736.0,1158.05,1232035200.0,0,1179.41,1137.79,1137.79,0,533802.0,533802.0
2009-01-19,000030,43055153152.0,1169.26,1232294400.0,0,1197.36,1158.56,1171.05,0,463673.0,463673.0
2009-01-20,000030,27479052288.0,1178.68,1232380800.0,0,1179.22,1152.52,1165.09,0,285405.0,285405.0
2009-01-21,000030,35564003328.0,1179.61,1232467200.0,0,1197.83,1156.19,1158.94,0,351190.0,351190.0
2009-01-22,000030,30904952832.0,1193.94,1232553600.0,0,1197.23,1172.88,1188.73,0,321637.0,321637.0
2009-01-23,000030,28269926400.0,1185.98,1232640000.0,0,1199.99,1182.36,1189.83,0,295445.0,295445.0
2009-02-02,000030,26685255680.0,1200.76,1233504000.0,0,1203.74,1184.28,1199.74,0,273065.0,273065.0
2009-02-03,000030,43118342144.0,1232.95,1233590400.0,0,1233.18,1197.77,1200.76,0,457197.0,457197.0
2009-02-04,000030,48233521152.0,1267.13,1233676800.0,0,1267.25,1239.06,1239.66,0,502829.0,502829.0
2009-02-05,000030,56699805696.0,1257.63,1233763200.0,0,1294.69,1248.93,1265.87,0,579922.0,579922.0
2009-02-06,000030,52447752192.0,1305.79,1233849600.0,0,1307.14,1262.78,1262.78,0,536199.0,536199.0
2009-02-09,000030,66037276672.0,1341.53,1234108800.0,0,1348.87,1320.94,1328.08,0,651471.0,651471.0
2009-02-10,000030,59315613696.0,1354.88,1234195200.0,0,1355.51,1320.1,1336.67,0,586798.0,586798.0
2009-02-11,000030,80342761472.0,1356.99,1234281600.0,0,1389.46,1325.67,1331.01,0,749327.0,749327.0
2009-02-12,000030,65314955264.0,1344.41,1234368000.0,0,1366.43,1306.77,1362.15,0,622174.0,622174.0
2009-02-13,000030,77218807808.0,1392.82,1234454400.0,0,1395.59,1339.47,1347.62,0,737909.0,737909.0
2009-02-16,000030,83967131648.0,1432.96,1234713600.0,0,1433.44,1397.8,1407.48,0,779368.0,779368.0
2009-02-17,000030,78818476032.0,1392.2,1234800000.0,0,1442.08,1391.92,1431.72,0,730573.0,730573.0
2009-02-18,000030,63226028032.0,1330.5,1234886400.0,0,1382.64,1327.64,1359.38,0,589699.0,589699.0
2009-02-19,000030,49241210880.0,1338.52,1234972800.0,0,1358.07,1316.06,1342.03,0,457564.0,457564.0
2009-02-20,000030,45791592448.0,1362.25,1235059200.0,0,1362.78,1324.97,1338.07,0,426354.0,426354.0
2009-02-23,000030,61803651072.0,1403.19,1235318400.0,0,1409.39,1338.06,1355.07,0,554899.0,554899.0
2009-02-24,000030,71341998080.0,1333.82,1235404800.0,0,1401.1,1328.17,1380.42,0,640349.0,640349.0
2009-02-25,000030,61332914176.0,1343.42,1235491200.0,0,1356.34,1287.77,1348.67,0,554248.0,554248.0
2009-02-26,000030,60278431744.0,1273.9,1235577600.0,0,1359.25,1260.73,1335.82,0,541686.0,541686.0
2009-02-27,000030,46937661440.0,1245.69,1235664000.0,0,1272.82,1232.96,1257.88,0,455419.0,455419.0
2009-03-02,000030,35410653184.0,1259.93,1235923200.0,0,1268.8,1221.92,1239.09,0,334064.0,334064.0
2009-03-03,000030,35642904576.0,1238.48,1236009600.0,0,1257.25,1218.1,1222.72,0,335319.0,335319.0
2009-03-04,000030,60689113088.0,1328.74,1236096000.0,0,1332.98,1242.99,1242.99,0,563835.0,563835.0
2009-03-05,000030,75479531520.0,1341.14,1236182400.0,0,1365.89,1313.24,1346.44,0,681193.0,681193.0
2009-03-06,000030,49186820096.0,1331.51,1236268800.0,0,1347.18,1310.54,1313.85,0,442103.0,442103.0
2009-03-09,000030,49723330560.0,1277.93,1236528000.0,0,1358.91,1276.66,1340.88,0,459801.0,459801.0
2009-03-10,000030,32986423296.0,1304.42,1236614400.0,0,1305.14,1257.76,1261.06,0,312377.0,312377.0
2009-03-11,000030,42354614272.0,1293.11,1236700800.0,0,1335.99,1288.38,1333.98,0,370861.0,370861.0
2009-03-12,000030,32331620352.0,1290.05,1236787200.0,0,1292.14,1252.82,1284.34,0,306197.0,306197.0
2009-03-13,000030,33161277440.0,1283.75,1236873600.0,0,1311.72,1281.21,1299.79,0,292983.0,292983.0
2009-03-16,000030,28536102912.0,1309.07,1237132800.0,0,1312.66,1267.4,1277.65,0,254804.0,254804.0
2009-03-17,000030,54545670144.0,1353.66,1237219200.0,0,1358.99,1303.91,1308.88,0,492063.0,492063.0
2009-03-18,000030,58962522112.0,1359.4,1237305600.0,0,1381.94,1355.34,1362.54,0,539318.0,539318.0
2009-03-19,000030,59705708544.0,1393.57,1237392000.0,0,1394.28,1360.99,1362.5,0,527938.0,527938.0
2009-03-20,000030,63961366528.0,1390.39,1237478400.0,0,1403.67,1369.22,1399.41,0,566577.0,566577.0
