,date,code,open,high,low,close,volume,amount,open_qfq,high_qfq,low_qfq,close_qfq,volume_qfq,amount_qfq,preclose,adj,open_hfq,high_hfq,low_hfq,close_hfq,volume_hfq,amount_hfq,preclose_hfq,adj_hfq
0,1994-05-06,600858,8.18,8.96,8.18,8.58,287764.0,243662000.0,1.1806972494871186,1.2932820727878465,1.1806972494871186,1.2384330563080046,1993660.5433971423,243662000.0,,0.14433951705221498,8.18,8.96,8.18,8.58,287764.0,243662000.0,,1.0
1,1994-05-09,600858,8.78,8.78,7.8,7.88,157947.0,131173000.0,1.2673009597184475,1.2673009597184475,1.1258482330072768,1.137395394371454,1094274.1338317108,131173000.0,1.2384330563080046,0.14433951705221498,8.78,8.78,7.8,7.88,157947.0,131173000.0,8.58,1.0
2,1994-05-10,600858,7.55,7.97,7.31,7.93,130204.0,100076000.0,1.089763353744223,1.1503859509061534,1.0551218696516915,1.1446123702240647,902067.5879973919,100076000.0,1.137395394371454,0.14433951705221498,7.55,7.97,7.31,7.93,130204.0,100076000.0,7.88,1.0
3,1994-05-11,600858,8.15,8.46,7.51,7.68,119367.0,97122000.0,1.1763670639755521,1.2211123142617388,1.0839897730621344,1.108527490961011,826987.6637928535,97122000.0,1.1446123702240647,0.14433951705221498,8.15,8.46,7.51,7.68,119367.0,97122000.0,7.93,1.0
4,1994-05-12,600858,7.52,7.83,7.12,7.19,46886.0,35194000.0,1.0854331682326566,1.1301784185188433,1.0276973614117706,1.0378011276054258,324831.3487361811,35194000.0,1.108527490961011,0.14433951705221498,7.52,7.83,7.12,7.19,46886.0,35194000.0,7.68,1.0
5,1994-05-13,600858,7.25,7.39,6.98,7.33,45485.0,32709000.0,1.0464614986285585,1.0666690310158686,1.0074898290244607,1.0580086599927359,315125.0671259053,32709000.0,1.0378011276054258,0.14433951705221498,7.25,7.39,6.98,7.33,45485.0,32709000.0,7.19,1.0
6,1994-05-16,600858,7.45,7.47,7.03,7.09,20462.0,14811000.0,1.0753294020390016,1.078216192380046,1.0147068048770713,1.0233671759002043,141762.9795213867,14811000.0,1.0580086599927359,0.14433951705221498,7.45,7.47,7.03,7.09,20462.0,14811000.0,7.33,1.0
7,1994-05-17,600858,7.15,7.3,7.09,7.19,12937.0,9302000.0,1.0320275469233369,1.0536784744811691,1.023367175900204,1.0378011276054255,89628.95445548726,9302000.0,1.023367175900204,0.14433951705221496,7.1499999999999995,7.299999999999999,7.089999999999999,7.1899999999999995,12937.000000000002,9302000.0,7.09,0.9999999999999999
8,1994-05-18,600858,7.2,7.2,6.92,6.96,7929.0,5590000.0,1.0392445227759477,1.0392445227759477,0.9988294580013275,1.0046030386834162,54932.98136179628,5590000.0,1.0378011276054255,0.14433951705221496,7.199999999999999,7.199999999999999,6.919999999999999,6.959999999999999,7929.000000000001,5590000.0,7.1899999999999995,0.9999999999999999
9,1994-05-19,600858,6.9,7.05,6.65,7.05,16885.0,11534000.0,0.9959426676602834,1.0175935952181157,0.9598577883972297,1.0175935952181157,116981.13132727078,11534000.0,1.0046030386834162,0.14433951705221498,6.9,7.05,6.65,7.05,16885.0,11534000.0,6.959999999999999,1.0
10,1994-05-20,600858,7.1,7.11,6.8,6.8,11849.0,8194000.0,1.0248105710707263,1.0262539662412486,0.9815087159550618,0.9815087159550618,82091.17116356715,8194000.0,1.0175935952181157,0.14433951705221498,7.1,7.11,6.8,6.8,11849.0,8194000.0,7.05,1.0
11,1994-05-23,600858,6.81,7.0,6.7,6.7,12144.0,8308000.0,0.982952111125584,1.0103766193655048,0.9670747642498404,0.9670747642498404,84134.96350834328,8308000.0,0.9815087159550618,0.14433951705221498,6.81,7.0,6.7,6.7,12144.0,8308000.0,6.8,1.0
12,1994-05-24,600858,6.75,6.92,6.7,6.85,5519.0,3747000.0,0.9742917401024511,0.9988294580013277,0.9670747642498404,0.9887256918076726,38236.237121421815,3747000.0,0.9670747642498404,0.14433951705221498,6.75,6.92,6.7,6.85,5519.0,3747000.0,6.7,1.0
13,1994-05-25,600858,6.9,7.18,6.71,6.78,18406.0,12832000.0,0.9959426676602834,1.0363577324349036,0.9685181594203626,0.9786219256140176,127518.78609474361,12832000.0,0.9887256918076726,0.14433951705221498,6.9,7.18,6.71,6.78,18406.0,12832000.0,6.85,1.0
14,1994-05-26,600858,6.8,6.85,6.38,6.38,9431.0,6219000.0,0.9815087159550621,0.9887256918076728,0.9208861187931318,0.9208861187931318,65339.00204604622,6219000.0,0.9786219256140177,0.144339517052215,6.800000000000002,6.850000000000001,6.380000000000002,6.380000000000002,9430.999999999998,6219000.0,6.780000000000001,1.0000000000000002
