date,code,open,high,low,close,volume,amount,open_qfq,high_qfq,low_qfq,close_qfq,volume_qfq,amount_qfq,preclose,adj,open_hfq,high_hfq,low_hfq,close_hfq,volume_hfq,amount_hfq,preclose_hfq,adj_hfq
2002-04-09,600036,10.51,10.88,10.51,10.66,4141088.0,4418821632.0,2.1411397088885056,2.2165176053955227,2.1411397088885056,2.1716983155805396,20326947.699547026,4418821632.0,,0.20372404461355906,10.51,10.88,10.51,10.66,4141088.0,4418821632.0,,1.0
2002-04-10,600036,10.66,10.7,10.39,10.6,679454.0,716684288.0,2.1716983155805396,2.1798472773650817,2.1166928235348785,2.159474872903726,3335168.4200500026,716684288.0,2.1716983155805396,0.20372404461355906,10.66,10.7,10.39,10.6,679454.0,716684288.0,10.66,1.0
2002-04-11,600036,10.6,10.68,10.49,10.52,227882.0,240963536.0,2.159474872903726,2.1757727964728106,2.1370652279962346,2.143176949334641,1118581.758143796,240963536.0,2.159474872903726,0.20372404461355906,10.6,10.68,10.49,10.52,227882.0,240963536.0,10.6,1.0
2002-04-12,600036,10.5,10.64,10.48,10.57,212564.0,224059904.0,2.13910246844237,2.1676238346882686,2.135027987550099,2.153363151565319,1043391.811718687,224059904.0,2.143176949334641,0.20372404461355906,10.5,10.64,10.48,10.57,212564.0,224059904.0,10.52,1.0
2002-04-15,600036,10.57,10.6,10.35,10.39,185311.0,193306928.0,2.153363151565319,2.159474872903726,2.108543861750336,2.1166928235348785,909617.7152358894,193306928.0,2.153363151565319,0.20372404461355906,10.57,10.6,10.35,10.39,185311.0,193306928.0,10.57,1.0
2002-04-16,600036,10.35,10.39,10.14,10.16,249254.0,254942368.0,2.108543861750336,2.1166928235348785,2.065761812381489,2.06983629327376,1223488.3735633956,254942368.0,2.1166928235348785,0.20372404461355906,10.35,10.39,10.14,10.16,249254.0,254942368.0,10.39,1.0
2002-04-17,600036,10.15,10.26,10.09,10.22,114593.0,116550896.0,2.0677990528276244,2.090208697735116,2.055575610150811,2.082059735950574,562491.2867667126,116550896.0,2.06983629327376,0.20372404461355906,10.15,10.26,10.09,10.22,114593.0,116550896.0,10.16,1.0
2002-04-18,600036,10.2,10.2,10.1,10.12,85332.0,86436776.0,2.0779852550583024,2.0779852550583024,2.0576128505969464,2.0616873314892175,418860.71996000735,86436776.0,2.082059735950574,0.20372404461355906,10.2,10.2,10.1,10.12,85332.0,86436776.0,10.22,1.0
2002-04-19,600036,10.1,10.15,9.99,10.14,157222.0,157784096.0,2.0576128505969464,2.0677990528276244,2.035203205689455,2.065761812381489,771740.0285186362,157784096.0,2.0616873314892175,0.20372404461355906,10.1,10.15,9.99,10.14,157222.0,157784096.0,10.12,1.0
2002-04-22,600036,10.1,10.1,9.99,10.01,65938.0,66105564.0,2.0576128505969464,2.0576128505969464,2.035203205689455,2.039277686581726,323663.3168415479,66105564.0,2.065761812381489,0.20372404461355906,10.1,10.1,9.99,10.01,65938.0,66105564.0,10.14,1.0
